,Unnamed: 0,artists,album_name,popularity,track_genre,album_id,duration,Album Rating
0,0,AJJ,Christmas Island,31,acoustic,6U05Hnv3V8sm93lErI9rNA,180771.0,28.7
2,2,AJJ,The Bible 2,27,acoustic,0umKI9UKmubVWFCDNxlpH2,163385.0,27.0
4,4,The Budos Band,The Budos Band III,22,afrobeat,4wGhy77LCdzpd7bdUiwQFN,158760.0,21.7
7,7,The Souljazz Orchestra,Rising Sun,16,afrobeat,3PN2MpnnwCXrPbFVxd4PM8,301986.0,16.0
8,8,MGMT,Little Dark Age,83,alt-rock,7GjVWG39IOj4viyWplJV4H,299960.0,83.0
9,9,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,86,alt-rock,0ODLCdHBFVvKwJGeSfd1jy,206280.0,75.1
12,12,The Strokes,The New Abnormal,79,alt-rock,2xkZV2Hl1Omi8rk2D7t5lN,309053.0,66.0
13,13,The 1975,A Brief Inquiry Into Online Relationships,73,alt-rock,6PWXKiakqhI17mTYM4y6oY,248335.0,68.3
15,15,Red Hot Chili Peppers,The Getaway,74,alt-rock,43otFXrY0bgaq5fB3GrZj6,302000.0,74.0
17,17,The Strokes,Comedown Machine,72,alt-rock,4WnkQO4xD9ljQooB3VIxCV,204773.0,60.2
19,19,Dominic Fike,What Could Possibly Go Wrong,71,alt-rock,1BubKJqf6Uc4fNae5kLJJ7,139906.0,67.5
25,25,Phosphorescent,Muchacho,62,alt-rock,6rAJ4I8SpPMJj0guCZiAI8,370200.0,62.0
29,29,Bea Miller,Arcane League of Legends (Soundtrack from the Animated Series),64,alt-rock,3MdiH74FL8mhlbnR6DcqJd,230525.0,61.0
30,30,Crystal Castles,(III),76,alternative,1NIfkZIYVAO6vnfmFOilHc,184760.0,71.5
31,31,Gorillaz,Plastic Beach,80,alternative,2dIGnmEIy1WZIcZCFSj6i8,200173.0,79.0
32,32,Little Simz,GREY Area,64,alternative,4Wwm4xg2748zhYuzDRFTgY,154749.0,64.0
34,34,James Blake;Travis Scott;Metro Boomin,Assume Form,65,alternative,23dKNZpiadggKHrQgHLi3L,193600.0,65.0
35,35,Teyana Taylor,The Album,66,alternative,11QKDc8OK4rnD3uBs7wKmR,128652.0,66.0
36,36,Slipknot,We Are Not Your Kind,74,alternative,754RY5WpZ2LTUZsk8kDBju,260773.0,71.5
37,37,Bicep,Bicep,74,ambient,4psDRFbIlUM1KUb1omccXo,269149.0,59.5
38,38,Brian Eno;Jon Hopkins;Leo Abrahams,Small Craft On A Milk Sea,56,ambient,47e7SP8MtzYKK8Lm3gEK2i,132306.0,56.0
39,39,Bicep,Isles,63,ambient,0EdtTRCl3J22AnWrNpH1w9,246506.0,55.3
40,40,Brian Eno,Apollo,59,ambient,1Z2jkEtW5Sc9wWVxUgyG0E,266200.0,59.0
41,41,Grouper,The Man Who Died in His Boat,54,ambient,2arK6QEmfa25k2feNozs9e,142120.0,54.0
42,42,Grouper,A I A: Alien Observer,53,ambient,4Z1BFX1oBckY8bhGEWMYmi,236480.0,53.0
43,43,Aphex Twin,Syro,55,ambient,6oRuinkJdTge4hpTuClEF8,321880.0,55.0
44,44,Julien Baker,Turn Out the Lights,46,ambient,3AV0YFhIzY0LDeaJPU5x3O,203973.0,48.5
45,45,Nils Frahm,Spaces,53,ambient,0DFbQjp468sMiIMTrZdr5w,498000.0,53.0
47,47,Jon Hopkins,Immunity,51,ambient,1rxWlYQcH945S3jpIMYR35,596773.0,69.0
49,49,Jon Hopkins,Singularity,48,ambient,1nvzBC1M3dlCMIxfUCBhlO,333400.0,48.0
52,52,Alcest,Les voyages de l'âme,44,black-metal,1yENAh14y99tcC6No2mXWl,350320.0,44.0
53,53,Kvelertak,Kvelertak,25,black-metal,5xWx2DMLGYJrbz77k6lxnh,267386.0,22.7
54,54,Deafheaven,Sunbather,46,black-metal,2kKXGWaCEl06EKZ4DxBJIT,554573.0,43.5
55,55,Alcest,Écailles de lune,42,black-metal,6b9NZDM5QhD2FViyXKwBRT,498706.0,42.0
57,57,Deafheaven,Ordinary Corrupt Human Love,40,black-metal,2iA7rzpQsOfAPkfH4Ekp7f,328642.0,41.0
60,60,Toxic Holocaust,Chemistry of Consciousness,23,black-metal,0jwJZDxGMm3SSm6LULhxgv,127826.0,21.0
61,61,Kvelertak,Nattesferd,23,black-metal,5EAGz1IagdeJoJ2Cgb4DES,214506.0,19.8
62,62,Darkthrone,Circle The Wagons,21,black-metal,0M43d6s6l1b5x6SALQSrP0,166826.0,19.5
63,63,Deafheaven,Infinite Granite,45,black-metal,0kCdT4gjYlSxIV7ll3Yd4M,360333.0,43.3
64,64,Wolves In The Throne Room,Thrice Woven,20,black-metal,1Uw3L9tXHZFuTS1lepKNVk,689693.0,20.0
66,66,Wolves In The Throne Room,Celestial Lineage,19,black-metal,3LHSxySCaooKrQxuLtuYSV,88226.0,18.7
69,69,Kvelertak,Meir,20,black-metal,5PAjZGAD8j0XZANLxJWulb,172906.0,19.0
73,73,Toxic Holocaust,Conjure and Command,20,black-metal,37C6YgkW0GLoxuSAvAPkUi,173600.0,20.0
75,75,Leviathan,Scar Sighted,18,black-metal,4hnlvhL0RR3AH2YOVChSsh,337980.0,17.5
76,76,Darkthrone,The Underground Resistance,18,black-metal,2GbdKYnwbDn7KV37EcVQN1,256252.0,18.0
81,81,Wolves In The Throne Room,Celestite,17,black-metal,3CZ1efJZ8G1hDBETkFuoxw,872398.0,16.5
89,89,Cage The Elephant,Melophobia,79,blues,4EK8gtQfdVsmDTji7gBFlz,208760.0,70.2
91,91,Cage The Elephant,Tell Me I'm Pretty,72,blues,0nW0w37lrQ87k7PLZvC4qJ,225973.0,63.5
94,94,The Black Keys,El Camino,73,blues,5DLhV9yOvZ7IxVmljMXtNm,193653.0,69.7
95,95,The Black Keys,Turn Blue,61,blues,6TvxpBzf9c8H1fsrAaQ8t3,410186.0,61.5
100,100,Greta Van Fleet,The Battle at Garden’s Gate,67,blues,7kjLKy9JLbwM9F7eDQEnd2,270887.0,67.0
102,102,Cage The Elephant,Social Cues,60,blues,2VuZJsJBPLwg9BeQFQle8G,163200.0,60.0
108,108,The Chemical Brothers,No Geography,53,breakbeat,7d1KwAPdMEBqCERVsKRUox,316680.0,41.4
115,115,Adele,30,82,british,21jF5jlMtzo94wbxmJ18aa,225148.0,71.5
125,125,Michael Kiwanuka,KIWANUKA,54,british,1yIqauTni1V7l7djYAKSsZ,233053.0,54.0
126,126,Laura Marling,Song For Our Daughter,52,british,0ubXthGSkZfe30Nuj91lcu,237228.0,52.0
127,127,Beach Fossils,Somersault,67,chill,2d7uieZPQtrUi5AQXwdsYV,158474.0,63.0
128,128,Beach Fossils,Clash the Truth,63,chill,4qC8mysA680i7chkL3JQQw,146293.0,63.0
129,129,Unknown Mortal Orchestra,II,67,chill,2UrexGLK8RBKbv07j7ui19,230146.0,63.0
130,130,Blood Orange,Negro Swan,66,chill,7bvmGyFDwpHNRRRZJ0AHvn,242341.0,66.0
131,131,Unknown Mortal Orchestra,Sex & Food,65,chill,2swiA7ANSFyAHKJhkD4mNR,268333.0,65.0
132,132,Gesaffelstein,Aleph,51,club,3MiiF9utmtGnLVITgl0JP7,247603.0,43.3
133,133,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,53,club,4z3YbEkKWwiIMSJTWUQbTH,232806.0,44.8
136,136,Arca,KICK ii,60,club,1Vg5v9M0afj5sIl1ndRXzy,151531.0,51.2
144,144,SOPHIE,VYZEE,49,club,619AAL08eHbip6ce8Jixbe,202531.0,49.0
146,146,A. G. Cook;Cecile Believe,7G,47,club,16NHNs15w1bpkFiBOUgDaB,169500.0,40.2
148,148,The Magnetic Fields,50 Song Memoir,21,club,2b3JjOvKw9UN47ND80Tvri,176426.0,21.0
153,153,Andy Stott,Faith in Strangers,45,club,1BzMONuUlgUnqOrg2aQeAY,389186.0,45.0
157,157,Fire-Toolz,Eternal Home,16,club,4ZyfutgwGoPLRNkJqVidZ2,158806.0,15.5
159,159,Lil Dicky;Brendon Urie,Professional Rapper,66,comedy,7IhHBoBPWlCSrr8DCmP5ot,244339.0,56.4
168,168,Kacey Musgraves,Golden Hour,68,country,7f6xPqyaolTiziKf5R5Z0c,219053.0,69.0
170,170,Ariana Grande,"thank u, next",84,dance,2fYhqwDWXjbpjaIJPEfKFw,178626.0,81.3
171,171,Ariana Grande,Positions,85,dance,3euz4vS7ezKGnNSwgyvKcd,172324.0,81.3
172,172,Doja Cat,Planet Her,88,dance,1nAQbHeOWTfQzbOoFrvndW,172626.0,84.2
173,173,Dua Lipa,Future Nostalgia,84,dance,7fJJK56U9fHixgO0HQkhtI,203807.0,81.0
175,175,Katy Perry,Smile,78,dance,47zMF6LrXQ8odi6Xv1unC0,185480.0,78.0
179,179,ZAYN,Mind Of Mine (Deluxe Edition),78,dance,5amj9zNeZ3B2EdpBgXrOZ0,202746.0,78.0
180,180,Ariana Grande,Sweetener,80,dance,3tx8gQqWbGwqIGZHqDNrGe,197546.0,79.0
182,182,Doja Cat,Hot Pink,83,dance,1MmVkhiwTH0BkNOU3nw5d3,226986.0,81.0
183,183,Bruno Mars,24K Magic,83,dance,4PgleR09JVnm3zY1fW3XBA,206693.0,83.0
188,188,Beyoncé,RENAISSANCE,93,dance,6FJxoadUE4JNVwWHghBwnb,225388.0,93.0
189,189,Cardi B;Bad Bunny;J Balvin,Invasion of Privacy,79,dance,4KdtEKjY3Gi0mKiSdy96ML,253390.0,79.0
192,192,Nicki Minaj,Queen Radio: Volume 1,83,dance,1ia27ME4iQkoIyUHBnJqX6,170977.0,83.0
193,193,Gojira,Fortitude,59,death-metal,3bmdzJRZ4DLRTiA6yBBQcI,300783.0,51.5
194,194,Meshuggah,Koloss,53,death-metal,1WzwZsb0LvVXhngbHjBfd9,372866.0,53.0
197,197,Cannibal Corpse,Violence Unimagined,50,death-metal,1OSmlc9qUXmCPzox9m9J3l,272994.0,50.0
202,202,Undeath,It's Time...To Rise from the Grave,22,death-metal,5pL9YDRmrXWNPEJGKiYUXs,233237.0,22.0
204,204,Tribulation,The Children of the Night,21,death-metal,4whOD3w1OmMhEcv54ai3Ju,411786.0,21.0
206,206,Havok,Conformicide,22,death-metal,6GI3M1qTLgDNNcZCTzgWEQ,437413.0,22.0
207,207,Miami Horror,Illumination,59,disco,37oEeZfUpmbYlJnORF36Zk,253728.0,59.0
208,208,Porter Robinson,Worlds,64,dub,7AJPV0L05IyIBid97AvwVD,328506.0,50.5
210,210,Porter Robinson,Nurture,59,dub,4Hjqdhj5rh816i1dfcUEaM,309985.0,50.8
226,226,Eliminate;Leah Culver,Crystallize,46,dub,1UNZ0fFbN1JHhbjJRRuhAn,212800.0,46.0
231,231,Mac DeMarco,Salad Days,82,edm,2sij95QgjmgrhNv33achzn,231723.0,82.0
232,232,Mac DeMarco,2,81,edm,2XgBQwGRxr4P7cHLDYiqrO,190845.0,81.0
233,233,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",84,electro,0S0KGZnfBGSIssfF54WSJh,194087.0,78.0
235,235,Daft Punk;Julian Casablancas,Random Access Memories,76,electro,4m2880jivSbbyEGAKfITCa,337560.0,75.5
236,236,Billie Eilish,Happier Than Ever,73,electro,0JGOiO34nwfUdDrD612dOp,173539.0,76.1
238,238,Ashnikko,DEMIDEVIL,72,electro,438ToDoVaJH5aTIXXrlDyI,146523.0,72.0
248,248,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),70,electro,2oj3FG6fos7zAQJxLQGzou,204763.0,70.0
250,250,James Blake;SZA,Friends That Break Your Heart,65,electronic,1zNtJFMCNIyT0X19jpcI3j,195905.0,65.0
251,251,Metronomy,The English Riviera,71,electronic,716fnrS2qXChPC3J2X73pK,277653.0,71.0
252,252,James Blake,Overgrown,64,electronic,53FEYOXnplxBWoQMmWn82U,223600.0,64.0
253,253,James Blake;Bon Iver,The Colour In Anything,59,electronic,1WyrGCkFDlH1xPadZ5qTkL,257219.0,59.0
254,254,Bonobo,The North Borders,59,electronic,7sN6lCgPf1rbZYmA3edMKv,352246.0,46.2
255,255,Chromatics,Kill For Love,52,electronic,2Fp5KBgyC0ac2oitVlsJhY,322994.0,52.0
256,256,Tycho,Awake,58,electronic,0GjrPTT00KWsalUi8jnpR9,283636.0,58.0
257,257,XXXTENTACION;Trippie Redd,17,83,emo,5VdyJkLe3yvOs0l4xXbWp0,146520.0,77.1
259,259,Lil Peep;XXXTENTACION,"Come Over When You're Sober, Pt. 2",81,emo,52JymrguPgkmmwLaWIusst,196400.0,65.9
263,263,XXXTENTACION,SKINS,72,emo,1qsQOC4Jn0fnaUZLAbs4dz,94245.0,63.1
264,264,6ix9ine;Nicki Minaj;Murda Beatz,DUMMY BOY,72,emo,06XM9ExRELs8dcuwEAn1jd,179404.0,65.0
265,265,Lil Pump,Lil Pump,64,emo,2VVvm4zJlUQm9XmBCvGN6z,124055.0,60.0
269,269,6ix9ine,TattleTales,71,emo,6q8AAimjVfKuv9PrI5xto9,132303.0,56.6
277,277,Paramore,After Laughter,75,emo,1c9Sx7XdXuMptGyfCB6hHs,182693.0,68.3
296,296,American Football,American Football,60,emo,3wRBlpk5PRoixwOnLujTal,268333.0,60.0
301,301,Hobo Johnson,The Fall of Hobo Johnson,55,emo,3QrkHSj8pBzE1Kwhpnktkw,215803.0,55.0
304,304,glass beach,the first glass beach album,62,emo,5GOoswCqZQiq9gbjSHkzMq,138119.0,55.7
309,309,Bon Iver,Bon Iver,59,folk,2LpfNj3vB5rOXfaawLcOBg,336613.0,59.0
310,310,Arctic Monkeys,AM,92,garage,78bpIziExqiI9qztvNFlQu,183956.0,77.3
326,326,The Strokes,Angles,68,garage,6Jx4cGhWHewTcfKDJKguBQ,235546.0,62.2
333,333,Death From Above 1979,Outrage! Is Now,57,garage,4kKKH6cFBtNd9etSJzkMjZ,198081.0,57.0
338,338,The Spits,The Spits,29,garage,4IH4X1p5E6WjigQdS1Z5B6,72000.0,26.5
340,340,Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,57,garage,7FfiN9ztbjLNPWhuhFHaWf,201706.0,57.0
342,342,Jack White,Lazaretto,58,garage,36LXzRarDP8TU8K0REGpt6,219400.0,58.0
343,343,Ariel Pink;DāM-FunK,Mature Themes,56,garage,08RdKFNm8Cu86FSzlhoAoh,287426.0,56.0
344,344,Ariel Pink,pom pom,54,garage,1GDEy7JQHzOvAIucRlXtGL,200293.0,54.0
345,345,Tony Molina,Dissed and Dismissed,27,garage,0M9cDMEpqJgz6V6AynA7Sy,72339.0,24.7
